basename	sample	read_group
21-01528_S1_1	21-01528	21-01528_S1_1
21-01528_S1_1	21-01528	21-01528_S1_1
21-01528_S1_2	21-01528	21-01528_S1_2
21-01528_S1_2	21-01528	21-01528_S1_2
21-01528_S1_3	21-01528	21-01528_S1_3
21-01528_S1_3	21-01528	21-01528_S1_3
21-01528_S1_4	21-01528	21-01528_S1_4
21-01528_S1_4	21-01528	21-01528_S1_4
21-01529_S1_1	21-01529	21-01529_S1_1
21-01529_S1_1	21-01529	21-01529_S1_1
21-01529_S1_2	21-01529	21-01529_S1_2
21-01529_S1_2	21-01529	21-01529_S1_2
21-01529_S1_3	21-01529	21-01529_S1_3
21-01529_S1_3	21-01529	21-01529_S1_3
21-01529_S1_4	21-01529	21-01529_S1_4
21-01529_S1_4	21-01529	21-01529_S1_4
21-01530_S1_1	21-01530	21-01530_S1_1
21-01530_S1_1	21-01530	21-01530_S1_1
21-01530_S1_2	21-01530	21-01530_S1_2
21-01530_S1_2	21-01530	21-01530_S1_2
21-01530_S1_3	21-01530	21-01530_S1_3
21-01530_S1_3	21-01530	21-01530_S1_3
21-01530_S1_4	21-01530	21-01530_S1_4
21-01530_S1_4	21-01530	21-01530_S1_4
21-01531_S1_1	21-01531	21-01531_S1_1
21-01531_S1_1	21-01531	21-01531_S1_1
21-01531_S1_2	21-01531	21-01531_S1_2
21-01531_S1_2	21-01531	21-01531_S1_2
21-01531_S1_3	21-01531	21-01531_S1_3
21-01531_S1_3	21-01531	21-01531_S1_3
21-01531_S1_4	21-01531	21-01531_S1_4
21-01531_S1_4	21-01531	21-01531_S1_4
21-01532_S1_1	21-01532	21-01532_S1_1
21-01532_S1_1	21-01532	21-01532_S1_1
21-01532_S1_2	21-01532	21-01532_S1_2
21-01532_S1_2	21-01532	21-01532_S1_2
21-01532_S1_3	21-01532	21-01532_S1_3
21-01532_S1_3	21-01532	21-01532_S1_3
21-01532_S1_4	21-01532	21-01532_S1_4
21-01532_S1_4	21-01532	21-01532_S1_4
21-01533_S1_1	21-01533	21-01533_S1_1
21-01533_S1_1	21-01533	21-01533_S1_1
21-01533_S1_2	21-01533	21-01533_S1_2
21-01533_S1_2	21-01533	21-01533_S1_2
21-01533_S1_3	21-01533	21-01533_S1_3
21-01533_S1_3	21-01533	21-01533_S1_3
21-01533_S1_4	21-01533	21-01533_S1_4
21-01533_S1_4	21-01533	21-01533_S1_4
21-01534_S1_1	21-01534	21-01534_S1_1
21-01534_S1_1	21-01534	21-01534_S1_1
21-01534_S1_2	21-01534	21-01534_S1_2
21-01534_S1_2	21-01534	21-01534_S1_2
21-01534_S1_3	21-01534	21-01534_S1_3
21-01534_S1_3	21-01534	21-01534_S1_3
21-01534_S1_4	21-01534	21-01534_S1_4
21-01534_S1_4	21-01534	21-01534_S1_4
21-01535_S1_1	21-01535	21-01535_S1_1
21-01535_S1_1	21-01535	21-01535_S1_1
21-01535_S1_2	21-01535	21-01535_S1_2
21-01535_S1_2	21-01535	21-01535_S1_2
21-01535_S1_3	21-01535	21-01535_S1_3
21-01535_S1_3	21-01535	21-01535_S1_3
21-01535_S1_4	21-01535	21-01535_S1_4
21-01535_S1_4	21-01535	21-01535_S1_4
21-01536_S1_1	21-01536	21-01536_S1_1
21-01536_S1_1	21-01536	21-01536_S1_1
21-01536_S1_2	21-01536	21-01536_S1_2
21-01536_S1_2	21-01536	21-01536_S1_2
21-01536_S1_3	21-01536	21-01536_S1_3
21-01536_S1_3	21-01536	21-01536_S1_3
21-01536_S1_4	21-01536	21-01536_S1_4
21-01536_S1_4	21-01536	21-01536_S1_4
21-01539_S1_1	21-01539	21-01539_S1_1
21-01539_S1_1	21-01539	21-01539_S1_1
21-01539_S1_2	21-01539	21-01539_S1_2
21-01539_S1_2	21-01539	21-01539_S1_2
21-01539_S1_3	21-01539	21-01539_S1_3
21-01539_S1_3	21-01539	21-01539_S1_3
21-01539_S1_4	21-01539	21-01539_S1_4
21-01539_S1_4	21-01539	21-01539_S1_4
21-01540_S1_1	21-01540	21-01540_S1_1
21-01540_S1_1	21-01540	21-01540_S1_1
21-01540_S1_2	21-01540	21-01540_S1_2
21-01540_S1_2	21-01540	21-01540_S1_2
21-01540_S1_3	21-01540	21-01540_S1_3
21-01540_S1_3	21-01540	21-01540_S1_3
21-01540_S1_4	21-01540	21-01540_S1_4
21-01540_S1_4	21-01540	21-01540_S1_4
21-01541_S1_1	21-01541	21-01541_S1_1
21-01541_S1_1	21-01541	21-01541_S1_1
21-01541_S1_2	21-01541	21-01541_S1_2
21-01541_S1_2	21-01541	21-01541_S1_2
21-01541_S1_3	21-01541	21-01541_S1_3
21-01541_S1_3	21-01541	21-01541_S1_3
21-01541_S1_4	21-01541	21-01541_S1_4
21-01541_S1_4	21-01541	21-01541_S1_4
21-01542_S1_1	21-01542	21-01542_S1_1
21-01542_S1_1	21-01542	21-01542_S1_1
21-01542_S1_2	21-01542	21-01542_S1_2
21-01542_S1_2	21-01542	21-01542_S1_2
21-01542_S1_3	21-01542	21-01542_S1_3
21-01542_S1_3	21-01542	21-01542_S1_3
21-01542_S1_4	21-01542	21-01542_S1_4
21-01542_S1_4	21-01542	21-01542_S1_4
21-01543_S1_1	21-01543	21-01543_S1_1
21-01543_S1_1	21-01543	21-01543_S1_1
21-01543_S1_2	21-01543	21-01543_S1_2
21-01543_S1_2	21-01543	21-01543_S1_2
21-01543_S1_3	21-01543	21-01543_S1_3
21-01543_S1_3	21-01543	21-01543_S1_3
21-01543_S1_4	21-01543	21-01543_S1_4
21-01543_S1_4	21-01543	21-01543_S1_4
21-01544_S1_1	21-01544	21-01544_S1_1
21-01544_S1_1	21-01544	21-01544_S1_1
21-01544_S1_2	21-01544	21-01544_S1_2
21-01544_S1_2	21-01544	21-01544_S1_2
21-01544_S1_3	21-01544	21-01544_S1_3
21-01544_S1_3	21-01544	21-01544_S1_3
21-01544_S1_4	21-01544	21-01544_S1_4
21-01544_S1_4	21-01544	21-01544_S1_4
21-01545_S1_1	21-01545	21-01545_S1_1
21-01545_S1_1	21-01545	21-01545_S1_1
21-01545_S1_2	21-01545	21-01545_S1_2
21-01545_S1_2	21-01545	21-01545_S1_2
21-01545_S1_3	21-01545	21-01545_S1_3
21-01545_S1_3	21-01545	21-01545_S1_3
21-01545_S1_4	21-01545	21-01545_S1_4
21-01545_S1_4	21-01545	21-01545_S1_4
21-01548_S1_1	21-01548	21-01548_S1_1
21-01548_S1_1	21-01548	21-01548_S1_1
21-01548_S1_2	21-01548	21-01548_S1_2
21-01548_S1_2	21-01548	21-01548_S1_2
21-01548_S1_3	21-01548	21-01548_S1_3
21-01548_S1_3	21-01548	21-01548_S1_3
21-01548_S1_4	21-01548	21-01548_S1_4
21-01548_S1_4	21-01548	21-01548_S1_4
21-01549_S1_1	21-01549	21-01549_S1_1
21-01549_S1_1	21-01549	21-01549_S1_1
21-01549_S1_2	21-01549	21-01549_S1_2
21-01549_S1_2	21-01549	21-01549_S1_2
21-01549_S1_3	21-01549	21-01549_S1_3
21-01549_S1_3	21-01549	21-01549_S1_3
21-01549_S1_4	21-01549	21-01549_S1_4
21-01549_S1_4	21-01549	21-01549_S1_4
21-01551_S1_1	21-01551	21-01551_S1_1
21-01551_S1_1	21-01551	21-01551_S1_1
21-01551_S1_2	21-01551	21-01551_S1_2
21-01551_S1_2	21-01551	21-01551_S1_2
21-01551_S1_3	21-01551	21-01551_S1_3
21-01551_S1_3	21-01551	21-01551_S1_3
21-01551_S1_4	21-01551	21-01551_S1_4
21-01551_S1_4	21-01551	21-01551_S1_4
21-01552_S1_1	21-01552	21-01552_S1_1
21-01552_S1_1	21-01552	21-01552_S1_1
21-01552_S1_2	21-01552	21-01552_S1_2
21-01552_S1_2	21-01552	21-01552_S1_2
21-01552_S1_3	21-01552	21-01552_S1_3
21-01552_S1_3	21-01552	21-01552_S1_3
21-01552_S1_4	21-01552	21-01552_S1_4
21-01552_S1_4	21-01552	21-01552_S1_4
21-01553_S1_1	21-01553	21-01553_S1_1
21-01553_S1_1	21-01553	21-01553_S1_1
21-01553_S1_2	21-01553	21-01553_S1_2
21-01553_S1_2	21-01553	21-01553_S1_2
21-01553_S1_3	21-01553	21-01553_S1_3
21-01553_S1_3	21-01553	21-01553_S1_3
21-01553_S1_4	21-01553	21-01553_S1_4
21-01553_S1_4	21-01553	21-01553_S1_4
21-01554_S1_1	21-01554	21-01554_S1_1
21-01554_S1_1	21-01554	21-01554_S1_1
21-01554_S1_2	21-01554	21-01554_S1_2
21-01554_S1_2	21-01554	21-01554_S1_2
21-01554_S1_3	21-01554	21-01554_S1_3
21-01554_S1_3	21-01554	21-01554_S1_3
21-01554_S1_4	21-01554	21-01554_S1_4
21-01554_S1_4	21-01554	21-01554_S1_4
21-01555_S1_1	21-01555	21-01555_S1_1
21-01555_S1_1	21-01555	21-01555_S1_1
21-01555_S1_2	21-01555	21-01555_S1_2
21-01555_S1_2	21-01555	21-01555_S1_2
21-01555_S1_3	21-01555	21-01555_S1_3
21-01555_S1_3	21-01555	21-01555_S1_3
21-01555_S1_4	21-01555	21-01555_S1_4
21-01555_S1_4	21-01555	21-01555_S1_4
21-01556_S1_1	21-01556	21-01556_S1_1
21-01556_S1_1	21-01556	21-01556_S1_1
21-01556_S1_2	21-01556	21-01556_S1_2
21-01556_S1_2	21-01556	21-01556_S1_2
21-01556_S1_3	21-01556	21-01556_S1_3
21-01556_S1_3	21-01556	21-01556_S1_3
21-01556_S1_4	21-01556	21-01556_S1_4
21-01556_S1_4	21-01556	21-01556_S1_4
