## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/05_mergeSamples/bam/21-01542.bam --OUTPUT results/06_markDuplicates/bam/21-01542.bam --METRICS_FILE results/06_markDuplicates/metrics/21-01542.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 15 14:53:23 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	63015318	11378092	0	0	34986318	0	0.555203	32855873

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	12124705	12124705
2.0	1.146911	7205234	7205234
3.0	1.168493	4342891	4342891
4.0	1.171664	2277166	2277166
5.0	1.17213	1067822	1067822
6.0	1.172198	469877	469877
7.0	1.172208	205881	205881
8.0	1.17221	98211	98211
9.0	1.17221	54203	54203
10.0	1.17221	34043	34043
11.0	1.17221	24344	24344
12.0	1.17221	18064	18064
13.0	1.17221	14356	14356
14.0	1.17221	11440	11440
15.0	1.17221	9252	9252
16.0	1.17221	7816	7816
17.0	1.17221	6645	6645
18.0	1.17221	5724	5724
19.0	1.17221	4934	4934
20.0	1.17221	4173	4173
21.0	1.17221	3723	3723
22.0	1.17221	3263	3263
23.0	1.17221	2861	2861
24.0	1.17221	2485	2485
25.0	1.17221	2181	2181
26.0	1.17221	2026	2026
27.0	1.17221	1762	1762
28.0	1.17221	1625	1625
29.0	1.17221	1442	1442
30.0	1.17221	1319	1319
31.0	1.17221	1169	1169
32.0	1.17221	1128	1128
33.0	1.17221	991	991
34.0	1.17221	965	965
35.0	1.17221	864	864
36.0	1.17221	802	802
37.0	1.17221	769	769
38.0	1.17221	675	675
39.0	1.17221	616	616
40.0	1.17221	580	580
41.0	1.17221	503	503
42.0	1.17221	525	525
43.0	1.17221	464	464
44.0	1.17221	460	460
45.0	1.17221	433	433
46.0	1.17221	382	382
47.0	1.17221	345	345
48.0	1.17221	343	343
49.0	1.17221	322	322
50.0	1.17221	306	306
51.0	1.17221	290	290
52.0	1.17221	267	267
53.0	1.17221	286	286
54.0	1.17221	248	248
55.0	1.17221	243	243
56.0	1.17221	193	193
57.0	1.17221	216	216
58.0	1.17221	184	184
59.0	1.17221	187	187
60.0	1.17221	149	149
61.0	1.17221	168	168
62.0	1.17221	174	174
63.0	1.17221	122	122
64.0	1.17221	122	122
65.0	1.17221	141	141
66.0	1.17221	112	112
67.0	1.17221	134	134
68.0	1.17221	123	123
69.0	1.17221	113	113
70.0	1.17221	98	98
71.0	1.17221	96	96
72.0	1.17221	105	105
73.0	1.17221	86	86
74.0	1.17221	90	90
75.0	1.17221	97	97
76.0	1.17221	97	97
77.0	1.17221	94	94
78.0	1.17221	82	82
79.0	1.17221	78	78
80.0	1.17221	68	68
81.0	1.17221	83	83
82.0	1.17221	69	69
83.0	1.17221	62	62
84.0	1.17221	62	62
85.0	1.17221	52	52
86.0	1.17221	56	56
87.0	1.17221	43	43
88.0	1.17221	48	48
89.0	1.17221	44	44
90.0	1.17221	44	44
91.0	1.17221	57	57
92.0	1.17221	44	44
93.0	1.17221	49	49
94.0	1.17221	37	37
95.0	1.17221	42	42
96.0	1.17221	48	48
97.0	1.17221	29	29
98.0	1.17221	46	46
99.0	1.17221	42	42
100.0	1.17221	36	36
101.0	0	36	36
102.0	0	41	41
103.0	0	28	28
104.0	0	33	33
105.0	0	25	25
106.0	0	37	37
107.0	0	27	27
108.0	0	21	21
109.0	0	18	18
110.0	0	26	26
111.0	0	21	21
112.0	0	25	25
113.0	0	17	17
114.0	0	34	34
115.0	0	37	37
116.0	0	13	13
117.0	0	19	19
118.0	0	21	21
119.0	0	18	18
120.0	0	25	25
121.0	0	22	22
122.0	0	11	11
123.0	0	15	15
124.0	0	17	17
125.0	0	19	19
126.0	0	21	21
127.0	0	16	16
128.0	0	19	19
129.0	0	11	11
130.0	0	17	17
131.0	0	10	10
132.0	0	14	14
133.0	0	13	13
134.0	0	9	9
135.0	0	12	12
136.0	0	8	8
137.0	0	13	13
138.0	0	17	17
139.0	0	9	9
140.0	0	11	11
141.0	0	15	15
142.0	0	12	12
143.0	0	13	13
144.0	0	6	6
145.0	0	3	3
146.0	0	8	8
147.0	0	12	12
148.0	0	13	13
149.0	0	10	10
150.0	0	12	12
151.0	0	5	5
152.0	0	6	6
153.0	0	6	6
154.0	0	10	10
155.0	0	8	8
156.0	0	5	5
157.0	0	5	5
158.0	0	6	6
159.0	0	16	16
160.0	0	7	7
161.0	0	10	10
162.0	0	9	9
163.0	0	7	7
164.0	0	7	7
165.0	0	7	7
166.0	0	10	10
167.0	0	4	4
168.0	0	8	8
169.0	0	5	5
170.0	0	6	6
171.0	0	6	6
172.0	0	8	8
173.0	0	4	4
174.0	0	2	2
175.0	0	4	4
176.0	0	5	5
177.0	0	2	2
178.0	0	8	8
179.0	0	8	8
180.0	0	10	10
181.0	0	2	2
182.0	0	4	4
183.0	0	7	7
184.0	0	6	6
185.0	0	3	3
186.0	0	4	4
187.0	0	7	7
188.0	0	4	4
189.0	0	7	7
190.0	0	6	6
191.0	0	4	4
192.0	0	1	1
193.0	0	4	4
194.0	0	7	7
195.0	0	2	2
196.0	0	2	2
197.0	0	4	4
199.0	0	5	5
200.0	0	3	3
201.0	0	4	4
202.0	0	5	5
203.0	0	4	4
204.0	0	5	5
205.0	0	5	5
206.0	0	1	1
207.0	0	1	1
208.0	0	5	5
209.0	0	1	1
210.0	0	2	2
211.0	0	2	2
212.0	0	3	3
213.0	0	2	2
214.0	0	2	2
216.0	0	2	2
217.0	0	2	2
218.0	0	4	4
219.0	0	3	3
221.0	0	4	4
223.0	0	4	4
224.0	0	1	1
225.0	0	3	3
226.0	0	2	2
228.0	0	2	2
229.0	0	4	4
230.0	0	1	1
231.0	0	2	2
232.0	0	3	3
234.0	0	1	1
237.0	0	1	1
238.0	0	3	3
239.0	0	3	3
240.0	0	1	1
241.0	0	1	1
242.0	0	1	1
