## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/05_mergeSamples/bam/21-01548.bam --OUTPUT results/06_markDuplicates/bam/21-01548.bam --METRICS_FILE results/06_markDuplicates/metrics/21-01548.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 01:04:37 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	55202271	10053660	0	0	26986813	0	0.488871	35965406

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	14507969	14507969
2.0	1.215483	7212009	7212009
3.0	1.261916	3645288	3645288
4.0	1.271922	1616620	1616620
5.0	1.274078	652812	652812
6.0	1.274543	258181	258181
7.0	1.274643	108958	108958
8.0	1.274664	54274	54274
9.0	1.274669	32329	32329
10.0	1.27467	21810	21810
11.0	1.27467	16028	16028
12.0	1.27467	12522	12522
13.0	1.27467	9764	9764
14.0	1.27467	8064	8064
15.0	1.27467	6621	6621
16.0	1.27467	5481	5481
17.0	1.27467	4721	4721
18.0	1.27467	4038	4038
19.0	1.27467	3375	3375
20.0	1.27467	2871	2871
21.0	1.27467	2629	2629
22.0	1.27467	2286	2286
23.0	1.27467	2027	2027
24.0	1.27467	1821	1821
25.0	1.27467	1608	1608
26.0	1.27467	1420	1420
27.0	1.27467	1317	1317
28.0	1.27467	1175	1175
29.0	1.27467	1107	1107
30.0	1.27467	948	948
31.0	1.27467	906	906
32.0	1.27467	811	811
33.0	1.27467	769	769
34.0	1.27467	674	674
35.0	1.27467	640	640
36.0	1.27467	614	614
37.0	1.27467	529	529
38.0	1.27467	552	552
39.0	1.27467	459	459
40.0	1.27467	452	452
41.0	1.27467	402	402
42.0	1.27467	381	381
43.0	1.27467	352	352
44.0	1.27467	359	359
45.0	1.27467	302	302
46.0	1.27467	317	317
47.0	1.27467	289	289
48.0	1.27467	260	260
49.0	1.27467	214	214
50.0	1.27467	242	242
51.0	1.27467	227	227
52.0	1.27467	220	220
53.0	1.27467	185	185
54.0	1.27467	188	188
55.0	1.27467	171	171
56.0	1.27467	174	174
57.0	1.27467	177	177
58.0	1.27467	161	161
59.0	1.27467	131	131
60.0	1.27467	138	138
61.0	1.27467	153	153
62.0	1.27467	123	123
63.0	1.27467	117	117
64.0	1.27467	126	126
65.0	1.27467	96	96
66.0	1.27467	108	108
67.0	1.27467	103	103
68.0	1.27467	78	78
69.0	1.27467	90	90
70.0	1.27467	80	80
71.0	1.27467	82	82
72.0	1.27467	91	91
73.0	1.27467	62	62
74.0	1.27467	74	74
75.0	1.27467	66	66
76.0	1.27467	66	66
77.0	1.27467	56	56
78.0	1.27467	64	64
79.0	1.27467	72	72
80.0	1.27467	56	56
81.0	1.27467	62	62
82.0	1.27467	67	67
83.0	1.27467	58	58
84.0	1.27467	68	68
85.0	1.27467	49	49
86.0	1.27467	53	53
87.0	1.27467	33	33
88.0	1.27467	57	57
89.0	1.27467	44	44
90.0	1.27467	39	39
91.0	1.27467	47	47
92.0	1.27467	38	38
93.0	1.27467	35	35
94.0	1.27467	47	47
95.0	1.27467	31	31
96.0	1.27467	38	38
97.0	1.27467	31	31
98.0	1.27467	37	37
99.0	1.27467	28	28
100.0	1.27467	25	25
101.0	0	35	35
102.0	0	24	24
103.0	0	30	30
104.0	0	27	27
105.0	0	27	27
106.0	0	17	17
107.0	0	27	27
108.0	0	34	34
109.0	0	27	27
110.0	0	22	22
111.0	0	24	24
112.0	0	20	20
113.0	0	17	17
114.0	0	19	19
115.0	0	33	33
116.0	0	16	16
117.0	0	16	16
118.0	0	19	19
119.0	0	14	14
120.0	0	27	27
121.0	0	19	19
122.0	0	15	15
123.0	0	19	19
124.0	0	18	18
125.0	0	15	15
126.0	0	16	16
127.0	0	13	13
128.0	0	12	12
129.0	0	10	10
130.0	0	17	17
131.0	0	12	12
132.0	0	11	11
133.0	0	12	12
134.0	0	15	15
135.0	0	17	17
136.0	0	10	10
137.0	0	16	16
138.0	0	10	10
139.0	0	10	10
140.0	0	11	11
141.0	0	14	14
142.0	0	8	8
143.0	0	16	16
144.0	0	6	6
145.0	0	7	7
146.0	0	5	5
147.0	0	7	7
148.0	0	12	12
149.0	0	8	8
150.0	0	8	8
151.0	0	7	7
152.0	0	12	12
153.0	0	8	8
154.0	0	6	6
155.0	0	8	8
156.0	0	9	9
157.0	0	8	8
158.0	0	7	7
159.0	0	8	8
160.0	0	10	10
161.0	0	6	6
162.0	0	7	7
163.0	0	14	14
164.0	0	11	11
165.0	0	6	6
166.0	0	8	8
167.0	0	4	4
168.0	0	3	3
169.0	0	2	2
170.0	0	5	5
171.0	0	6	6
172.0	0	5	5
173.0	0	6	6
174.0	0	7	7
175.0	0	3	3
176.0	0	9	9
177.0	0	6	6
178.0	0	7	7
179.0	0	5	5
180.0	0	3	3
181.0	0	6	6
182.0	0	4	4
183.0	0	8	8
184.0	0	1	1
185.0	0	2	2
186.0	0	5	5
187.0	0	3	3
188.0	0	5	5
189.0	0	3	3
190.0	0	9	9
191.0	0	6	6
192.0	0	3	3
193.0	0	2	2
194.0	0	3	3
195.0	0	3	3
196.0	0	5	5
197.0	0	4	4
198.0	0	2	2
199.0	0	4	4
200.0	0	3	3
201.0	0	6	6
202.0	0	2	2
203.0	0	3	3
204.0	0	4	4
205.0	0	1	1
206.0	0	3	3
207.0	0	5	5
208.0	0	4	4
209.0	0	3	3
210.0	0	3	3
211.0	0	3	3
212.0	0	5	5
213.0	0	2	2
214.0	0	2	2
215.0	0	3	3
216.0	0	2	2
217.0	0	2	2
219.0	0	7	7
220.0	0	2	2
221.0	0	3	3
222.0	0	2	2
224.0	0	6	6
225.0	0	3	3
226.0	0	2	2
230.0	0	1	1
231.0	0	1	1
232.0	0	4	4
233.0	0	4	4
234.0	0	4	4
235.0	0	5	5
236.0	0	1	1
237.0	0	4	4
238.0	0	1	1
240.0	0	2	2
241.0	0	3	3
242.0	0	3	3
243.0	0	1	1
244.0	0	4	4
245.0	0	1	1
246.0	0	2	2
247.0	0	3	3
248.0	0	1	1
249.0	0	1	1
250.0	0	1	1
251.0	0	3	3
252.0	0	4	4
253.0	0	2	2
254.0	0	1	1
255.0	0	3	3
256.0	0	3	3
257.0	0	2	2
258.0	0	2	2
260.0	0	1	1
261.0	0	2	2
262.0	0	2	2
263.0	0	3	3
264.0	0	3	3
266.0	0	1	1
267.0	0	1	1
268.0	0	2	2
269.0	0	1	1
270.0	0	3	3
271.0	0	1	1
274.0	0	2	2
276.0	0	2	2
279.0	0	1	1
280.0	0	1	1
281.0	0	2	2
284.0	0	1	1
285.0	0	2	2
286.0	0	2	2
292.0	0	1	1
293.0	0	1	1
294.0	0	2	2
295.0	0	3	3
297.0	0	1	1
300.0	0	1	1
301.0	0	1	1
302.0	0	1	1
303.0	0	1	1
306.0	0	2	2
307.0	0	1	1
308.0	0	3	3
309.0	0	1	1
311.0	0	1	1
313.0	0	1	1
316.0	0	1	1
319.0	0	2	2
323.0	0	1	1
331.0	0	1	1
332.0	0	1	1
333.0	0	1	1
334.0	0	2	2
335.0	0	2	2
338.0	0	3	3
339.0	0	2	2
343.0	0	1	1
345.0	0	1	1
346.0	0	1	1
350.0	0	1	1
351.0	0	1	1
352.0	0	1	1
353.0	0	1	1
354.0	0	1	1
355.0	0	1	1
356.0	0	1	1
360.0	0	1	1
361.0	0	1	1
363.0	0	1	1
364.0	0	1	1
365.0	0	1	1
366.0	0	1	1
367.0	0	1	1
372.0	0	1	1
375.0	0	1	1
379.0	0	2	2
382.0	0	2	2
385.0	0	1	1
386.0	0	1	1
391.0	0	1	1
394.0	0	1	1
401.0	0	1	1
403.0	0	1	1
404.0	0	1	1
411.0	0	1	1
412.0	0	1	1
413.0	0	1	1
420.0	0	1	1
421.0	0	1	1
431.0	0	1	1
437.0	0	1	1
441.0	0	1	1
443.0	0	1	1
448.0	0	1	1
451.0	0	1	1
453.0	0	1	1
454.0	0	1	1
455.0	0	1	1
484.0	0	1	1
486.0	0	1	1
503.0	0	1	1
507.0	0	1	1
516.0	0	1	1
517.0	0	1	1
525.0	0	1	1
532.0	0	2	2
539.0	0	1	1
544.0	0	1	1
545.0	0	1	1
548.0	0	1	1
550.0	0	1	1
564.0	0	1	1
567.0	0	1	1
577.0	0	1	1
585.0	0	1	1
591.0	0	1	1
597.0	0	1	1
598.0	0	1	1
600.0	0	1	1
608.0	0	1	1
609.0	0	1	1
618.0	0	1	1
631.0	0	1	1
667.0	0	1	1
683.0	0	1	1
686.0	0	1	1
689.0	0	1	1
691.0	0	1	1
702.0	0	1	1
705.0	0	1	1
712.0	0	1	1
768.0	0	1	1
785.0	0	1	1
808.0	0	1	1
841.0	0	2	2
922.0	0	1	1
990.0	0	1	1
1031.0	0	1	1
1047.0	0	1	1
1082.0	0	1	1
1166.0	0	1	1
1249.0	0	1	1
1440.0	0	1	1
1505.0	0	1	1
1553.0	0	1	1

