## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/05_mergeSamples/bam/21-01554.bam --OUTPUT results/06_markDuplicates/bam/21-01554.bam --METRICS_FILE results/06_markDuplicates/metrics/21-01554.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Feb 18 17:06:14 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	65217178	12482652	0	0	32820956	0	0.503256	40477507

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	16045557	16045557
2.0	1.199649	8678897	8678897
3.0	1.239508	4330290	4330290
4.0	1.247466	1866466	1866466
5.0	1.249055	739792	739792
6.0	1.249372	294062	294062
7.0	1.249436	130992	130992
8.0	1.249448	70395	70395
9.0	1.249451	44651	44651
10.0	1.249451	31335	31335
11.0	1.249451	23878	23878
12.0	1.249451	18566	18566
13.0	1.249451	14955	14955
14.0	1.249451	12087	12087
15.0	1.249451	10280	10280
16.0	1.249451	8752	8752
17.0	1.249451	7174	7174
18.0	1.249451	6399	6399
19.0	1.249451	5446	5446
20.0	1.249451	4819	4819
21.0	1.249451	4135	4135
22.0	1.249451	3636	3636
23.0	1.249451	3341	3341
24.0	1.249451	2855	2855
25.0	1.249451	2564	2564
26.0	1.249451	2397	2397
27.0	1.249451	2082	2082
28.0	1.249451	1881	1881
29.0	1.249451	1771	1771
30.0	1.249451	1610	1610
31.0	1.249451	1414	1414
32.0	1.249451	1265	1265
33.0	1.249451	1228	1228
34.0	1.249451	1176	1176
35.0	1.249451	992	992
36.0	1.249451	992	992
37.0	1.249451	923	923
38.0	1.249451	854	854
39.0	1.249451	773	773
40.0	1.249451	789	789
41.0	1.249451	679	679
42.0	1.249451	646	646
43.0	1.249451	642	642
44.0	1.249451	567	567
45.0	1.249451	529	529
46.0	1.249451	467	467
47.0	1.249451	488	488
48.0	1.249451	446	446
49.0	1.249451	387	387
50.0	1.249451	393	393
51.0	1.249451	382	382
52.0	1.249451	334	334
53.0	1.249451	322	322
54.0	1.249451	321	321
55.0	1.249451	293	293
56.0	1.249451	257	257
57.0	1.249451	290	290
58.0	1.249451	236	236
59.0	1.249451	252	252
60.0	1.249451	233	233
61.0	1.249451	231	231
62.0	1.249451	211	211
63.0	1.249451	195	195
64.0	1.249451	155	155
65.0	1.249451	188	188
66.0	1.249451	157	157
67.0	1.249451	177	177
68.0	1.249451	168	168
69.0	1.249451	159	159
70.0	1.249451	133	133
71.0	1.249451	135	135
72.0	1.249451	135	135
73.0	1.249451	133	133
74.0	1.249451	116	116
75.0	1.249451	121	121
76.0	1.249451	104	104
77.0	1.249451	122	122
78.0	1.249451	117	117
79.0	1.249451	100	100
80.0	1.249451	99	99
81.0	1.249451	95	95
82.0	1.249451	100	100
83.0	1.249451	82	82
84.0	1.249451	86	86
85.0	1.249451	83	83
86.0	1.249451	93	93
87.0	1.249451	69	69
88.0	1.249451	77	77
89.0	1.249451	66	66
90.0	1.249451	76	76
91.0	1.249451	77	77
92.0	1.249451	83	83
93.0	1.249451	65	65
94.0	1.249451	52	52
95.0	1.249451	59	59
96.0	1.249451	52	52
97.0	1.249451	45	45
98.0	1.249451	49	49
99.0	1.249451	55	55
100.0	1.249451	40	40
101.0	0	49	49
102.0	0	52	52
103.0	0	38	38
104.0	0	48	48
105.0	0	36	36
106.0	0	41	41
107.0	0	41	41
108.0	0	35	35
109.0	0	34	34
110.0	0	40	40
111.0	0	39	39
112.0	0	43	43
113.0	0	27	27
114.0	0	40	40
115.0	0	44	44
116.0	0	37	37
117.0	0	23	23
118.0	0	24	24
119.0	0	23	23
120.0	0	28	28
121.0	0	22	22
122.0	0	27	27
123.0	0	21	21
124.0	0	32	32
125.0	0	21	21
126.0	0	26	26
127.0	0	19	19
128.0	0	25	25
129.0	0	26	26
130.0	0	13	13
131.0	0	21	21
132.0	0	20	20
133.0	0	19	19
134.0	0	17	17
135.0	0	22	22
136.0	0	20	20
137.0	0	21	21
138.0	0	25	25
139.0	0	16	16
140.0	0	11	11
141.0	0	19	19
142.0	0	20	20
143.0	0	20	20
144.0	0	10	10
145.0	0	25	25
146.0	0	19	19
147.0	0	24	24
148.0	0	20	20
149.0	0	17	17
150.0	0	20	20
151.0	0	9	9
152.0	0	13	13
153.0	0	11	11
154.0	0	12	12
155.0	0	14	14
156.0	0	10	10
157.0	0	7	7
158.0	0	14	14
159.0	0	15	15
160.0	0	7	7
161.0	0	8	8
162.0	0	11	11
163.0	0	12	12
164.0	0	15	15
165.0	0	9	9
166.0	0	6	6
167.0	0	9	9
168.0	0	11	11
169.0	0	8	8
170.0	0	8	8
171.0	0	12	12
172.0	0	14	14
173.0	0	11	11
174.0	0	7	7
175.0	0	6	6
176.0	0	8	8
177.0	0	8	8
178.0	0	12	12
179.0	0	10	10
180.0	0	10	10
181.0	0	8	8
182.0	0	14	14
183.0	0	4	4
184.0	0	4	4
185.0	0	9	9
186.0	0	10	10
187.0	0	6	6
188.0	0	7	7
189.0	0	9	9
190.0	0	6	6
191.0	0	3	3
192.0	0	3	3
193.0	0	8	8
194.0	0	8	8
195.0	0	3	3
196.0	0	5	5
197.0	0	8	8
198.0	0	10	10
199.0	0	5	5
200.0	0	5	5
201.0	0	7	7
202.0	0	5	5
203.0	0	6	6
204.0	0	7	7
205.0	0	2	2
206.0	0	7	7
207.0	0	4	4
208.0	0	8	8
209.0	0	5	5
210.0	0	8	8
211.0	0	2	2
212.0	0	6	6
213.0	0	2	2
214.0	0	9	9
215.0	0	4	4
216.0	0	4	4
217.0	0	4	4
218.0	0	3	3
219.0	0	4	4
220.0	0	4	4
221.0	0	5	5
222.0	0	5	5
223.0	0	3	3
224.0	0	7	7
225.0	0	3	3
226.0	0	1	1
227.0	0	4	4
228.0	0	1	1
229.0	0	6	6
230.0	0	4	4
231.0	0	3	3
232.0	0	3	3
233.0	0	3	3
234.0	0	2	2
235.0	0	3	3
236.0	0	5	5
237.0	0	3	3
238.0	0	5	5
239.0	0	3	3
240.0	0	2	2
241.0	0	2	2
242.0	0	2	2
243.0	0	1	1
245.0	0	7	7
246.0	0	2	2
247.0	0	1	1
248.0	0	1	1
249.0	0	1	1
250.0	0	3	3
251.0	0	3	3
253.0	0	2	2
254.0	0	2	2
255.0	0	2	2
256.0	0	3	3
257.0	0	1	1
258.0	0	2	2
259.0	0	2	2
260.0	0	2	2
261.0	0	3	3
262.0	0	1	1
263.0	0	4	4
264.0	0	2	2
265.0	0	1	1
266.0	0	2	2
267.0	0	2	2
268.0	0	4	4
269.0	0	4	4
270.0	0	1	1
271.0	0	4	4
272.0	0	1	1
273.0	0	2	2
274.0	0	3	3
276.0	0	1	1
277.0	0	1	1
278.0	0	2	2
279.0	0	2	2
280.0	0	2	2
281.0	0	2	2
283.0	0	3	3
285.0	0	2	2
286.0	0	2	2
287.0	0	2	2
288.0	0	4	4
290.0	0	1	1
291.0	0	2	2
292.0	0	1	1
293.0	0	1	1
296.0	0	2	2
298.0	0	5	5
300.0	0	1	1
301.0	0	2	2
302.0	0	1	1
303.0	0	3	3
304.0	0	2	2
306.0	0	1	1
307.0	0	3	3
308.0	0	2	2
310.0	0	1	1
313.0	0	1	1
315.0	0	1	1
317.0	0	1	1
318.0	0	1	1
320.0	0	1	1
324.0	0	1	1
325.0	0	4	4
326.0	0	2	2
329.0	0	1	1
330.0	0	1	1
331.0	0	1	1
335.0	0	1	1
336.0	0	1	1
338.0	0	1	1
339.0	0	1	1
340.0	0	1	1
342.0	0	2	2
343.0	0	1	1
345.0	0	1	1
346.0	0	1	1
352.0	0	1	1
353.0	0	1	1
354.0	0	1	1
355.0	0	1	1
356.0	0	1	1
357.0	0	1	1
361.0	0	1	1
366.0	0	1	1
367.0	0	2	2
368.0	0	2	2
369.0	0	1	1
370.0	0	1	1
376.0	0	1	1
379.0	0	1	1
380.0	0	1	1
381.0	0	1	1
382.0	0	1	1
384.0	0	1	1
386.0	0	1	1
389.0	0	1	1
391.0	0	2	2
393.0	0	1	1
395.0	0	2	2
397.0	0	1	1
399.0	0	1	1
403.0	0	1	1
407.0	0	1	1
410.0	0	1	1
418.0	0	1	1
419.0	0	1	1
421.0	0	1	1
423.0	0	1	1
429.0	0	1	1
433.0	0	1	1
434.0	0	3	3
435.0	0	1	1
439.0	0	2	2
441.0	0	1	1
442.0	0	1	1
453.0	0	1	1
454.0	0	1	1
458.0	0	1	1
462.0	0	1	1
477.0	0	1	1
481.0	0	1	1
489.0	0	2	2
492.0	0	2	2
494.0	0	1	1
501.0	0	1	1
502.0	0	1	1
510.0	0	1	1
521.0	0	1	1
524.0	0	1	1
529.0	0	2	2
534.0	0	2	2
537.0	0	1	1
544.0	0	1	1
552.0	0	1	1
559.0	0	1	1
575.0	0	1	1
577.0	0	1	1
578.0	0	2	2
599.0	0	1	1
604.0	0	1	1
609.0	0	1	1
619.0	0	1	1
627.0	0	1	1
635.0	0	1	1
636.0	0	1	1
639.0	0	1	1
640.0	0	1	1
656.0	0	1	1
680.0	0	1	1
687.0	0	1	1
700.0	0	1	1
717.0	0	1	1
742.0	0	1	1
746.0	0	1	1
761.0	0	1	1
803.0	0	1	1
807.0	0	2	2
885.0	0	1	1
1038.0	0	1	1
1113.0	0	1	1
1123.0	0	1	1
1342.0	0	1	1
1391.0	0	1	1
1466.0	0	1	1
1605.0	0	1	1
2190.0	0	1	1
2340.0	0	1	1

