# This file was produced by samtools stats (1.11+htslib-1.11) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -d results/08_bqsr/bam/21-01528.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	b74b0d25	4e98f9a1	47aacab5
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	156235034
SN	filtered sequences:	82771112
SN	sequences:	73463922
SN	is sorted:	1
SN	1st fragments:	36731961
SN	last fragments:	36731961
SN	reads mapped:	73463922
SN	reads mapped and paired:	73463922	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	73463922	# proper-pair bit set
SN	reads paired:	73463922	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	463196	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	8051226
SN	total length:	7916881827	# ignores clipping
SN	total first fragment length:	3561869870	# ignores clipping
SN	total last fragment length:	4355011957	# ignores clipping
SN	bases mapped:	7916881827	# ignores clipping
SN	bases mapped (cigar):	7072795029	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	0	# from NM fields
SN	error rate:	0.000000e+00	# mismatches / bases mapped (cigar)
SN	average length:	107
SN	average first fragment length:	97
SN	average last fragment length:	119
SN	maximum length:	122
SN	maximum first fragment length:	98
SN	maximum last fragment length:	122
SN	average quality:	22.9
SN	insert size average:	1601.4
SN	insert size standard deviation:	2194.3
SN	inward oriented pairs:	46449468
SN	outward oriented pairs:	3306043
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	20148	0	0	0	1611	21600	0	0	28086	26060	25460	24897	25854	27832	13890	44502	35587	8932	49599	57466	68189	55516	66996	129003	153342	148037	323635	574248	314923	971366	1836753	1770568	368171	3488764	4659434	21391492	0	0	0	0	0	0	0	0	0
FFQ	2	36	0	0	0	2376	25414	10063	14853	18009	19319	21668	24929	24813	28270	30049	31446	34239	42804	56271	53603	79156	92566	102169	191916	203516	360494	423588	679681	1134347	1716679	2604801	3475243	5003544	6494879	4318901	4259317	3045991	1745422	361589	0	0	0	0	0	0
FFQ	3	22057	785	4498	5056	15542	34382	14388	18633	23801	23579	23743	28407	25412	35479	38502	57749	54235	81634	109312	157117	438084	1176365	5531631	4705177	6017829	7508280	4945406	3885778	1749100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	4	19	826	4137	4987	16061	35813	13851	16950	27080	19510	28284	24120	29266	33024	40523	53088	52697	70929	92777	131927	288276	871687	5116142	4145049	6390430	7704917	5170111	4682436	1667044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	5	20	859	5086	8036	15461	39170	17043	18055	24810	22854	28145	27334	30231	35676	43551	56982	63237	69288	104227	151210	326772	878048	4707652	4277706	6752340	7485940	5071245	4916801	1554182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	6	20	794	5305	7368	17114	44806	16684	15689	30743	23732	30192	30984	27543	39082	43649	58503	58652	75900	100152	123725	307162	782321	4592354	4203559	6164821	7226318	5068365	5659870	1976554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	7	16	693	3801	4932	16920	37957	16605	19198	27810	23607	27630	30396	35014	36319	41797	64457	45417	76275	111636	144462	259348	757478	5403226	4767349	7243308	7654510	4976539	3576121	1329140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	8	13	947	4461	6032	17286	42444	15808	20652	27001	26970	28493	31325	33757	35806	45534	62450	49885	76151	106603	137553	226782	577066	1638166	5857904	5023295	6598296	6698173	5124047	3206541	1012520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	9	29	1158	6111	8689	18195	45659	21421	19837	28779	27823	33547	30475	39751	40129	46206	75684	63294	92194	116641	190133	359144	786599	3012909	5263469	5989062	6170095	6605368	4345918	2576467	717175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	10	35	1130	6288	7813	19405	49349	18843	19084	31457	27346	32306	34004	35339	39639	53605	66913	63033	77389	124210	158260	270427	762669	2843716	4726306	5257378	7225426	5388961	4713299	3644399	1033932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
