# This file was produced by samtools stats (1.11+htslib-1.11) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -d results/08_bqsr/bam/21-01533.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	16139886	c8661f5d	bdac51e8
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	172951045
SN	filtered sequences:	110952011
SN	sequences:	61999034
SN	is sorted:	1
SN	1st fragments:	30999517
SN	last fragments:	30999517
SN	reads mapped:	61999034
SN	reads mapped and paired:	61999034	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	61999034	# proper-pair bit set
SN	reads paired:	61999034	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	520742	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	11226872
SN	total length:	6664119052	# ignores clipping
SN	total first fragment length:	3002228422	# ignores clipping
SN	total last fragment length:	3661890630	# ignores clipping
SN	bases mapped:	6664119052	# ignores clipping
SN	bases mapped (cigar):	5961352743	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	0	# from NM fields
SN	error rate:	0.000000e+00	# mismatches / bases mapped (cigar)
SN	average length:	107
SN	average first fragment length:	97
SN	average last fragment length:	118
SN	maximum length:	122
SN	maximum first fragment length:	98
SN	maximum last fragment length:	122
SN	average quality:	22.6
SN	insert size average:	1572.7
SN	insert size standard deviation:	2189.3
SN	inward oriented pairs:	38782052
SN	outward oriented pairs:	3069925
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	17360	0	0	0	1367	18352	0	11224	12966	21904	21542	21185	22017	23137	23718	25608	22644	38058	37246	38455	69073	23540	75973	111169	188274	179361	208947	564557	492055	895217	1623838	1203079	0	4097995	3444482	17465174	0	0	0	0	0	0	0	0
FFQ	2	35	0	0	0	2284	20285	9801	11378	15729	14059	14873	22239	22176	20322	23574	25624	37099	23991	43315	54780	65307	86940	97287	141627	179172	356342	342886	750352	801410	1858167	1671641	4085284	6783830	6861645	1974825	1512965	1959756	1108517	0	0	0	0	0	0
FFQ	3	18824	823	3846	7227	10553	29526	9597	12956	20239	17082	20562	23423	19302	29420	35941	46072	49936	78277	81663	169373	1109128	860650	2005489	8878652	7049761	3747064	2493136	2679446	1491549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	4	23	881	3707	8016	10233	29746	11469	11093	19920	16419	22157	21925	18237	29292	31717	45426	41296	70231	72355	119807	1330042	881788	1551998	7544695	7179293	4041899	3326381	3301012	1258459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	5	18	905	3936	8957	11591	32137	12543	14188	20303	19012	23055	22990	23919	31479	33207	51301	55453	74849	93047	142902	1338694	930578	1630025	7561048	6584870	4076752	3397523	3541774	1262461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	6	26	905	4130	9240	13601	35305	13418	12383	23307	18396	23456	26332	20892	34226	31792	51230	48001	74244	83100	121623	1243577	802316	1499792	7149128	6560002	3888083	3423194	4168635	1619183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	7	13	727	3258	8240	11879	32051	12300	13564	20324	18688	23845	22505	24346	29998	35390	44117	48728	72034	80918	113756	808818	735142	1385537	8643255	9068282	3792097	2093458	2833054	1023193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	8	18	986	3769	9519	12351	33840	13076	14941	19752	19637	23440	24432	24551	27585	38388	45640	49857	72639	88032	129135	1376299	864747	1536260	7630255	7627014	4138302	3194243	2983311	997498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	9	26	1183	4556	10323	13622	37173	14845	16284	23548	19778	25848	24504	26066	33752	46952	43642	69307	80723	108380	163079	1146740	936191	1712419	7676474	8264914	3907292	2841329	2837629	912938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	10	22	1246	4574	8809	15410	39705	12774	16253	24754	20356	24088	26905	26242	34599	41035	46498	56285	74367	93363	152216	1452651	897908	1516506	6967220	7042558	3794979	3868529	3389821	1349844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	11	28	1022	4221	11120	14027	38247	15645	17382	22442	21997	24917	28129	27255	37095	36201	53305	62461	95513	88655	155455	278669	1425318	1007042	2205702	7954555	6573634	4554873	2175806	3190904	877897	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	12	38	1303	4692	8901	14317	35857	14106	18029	24527	19113	27667	29380	25994	38436	43290	46084	68726	92501	103811	158202	749833	1088991	1500340	5601006	8134526	5176731	3309478	2359081	1785476	519081	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	13	62	1308	4793	11194	15506	39945	16147	20062	22783	22675	28067	28993	28606	38540	39469	46870	73692	91854	95850	163530	611089	1269603	1247025	4292004	7579812	6142616	3714713	2409078	2192856	750775	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	14	57	1176	4628	10944	15246	38844	15632	17308	23379	21032	27211	27513	27601	39400	42230	45975	66797	76773	104418	150227	266684	1415345	1076448	2231166	7957077	6899096	4156492	2529546	2736894	974378	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	15	65	1146	4805	10666	14852	39874	16993	16034	24671	22284	29057	27089	26338	39963	42100	51198	64164	87151	106871	152269	1180194	879656	1635148	7297145	7940557	3858416	3172072	3151954	1106785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	16	77	1677	6455	15096	20519	53195	22482	22226	33053	30009	36152	39211	31249	54994	49844	63049	79794	99029	108023	155758	219850	1390023	1001702	1815569	8255719	6746868	4311844	2516812	2826138	993100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	17	82	1773	6700	16540	22725	56758	25520	28901	32862	33861	38325	38236	44411	51344	51123	63665	79128	110939	96506	175904	245242	1380965	1055132	1820887	8082354	6820430	4269122	2557142	2772267	1020673	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	18	16344	1787	6779	15210	21311	56300	24270	24471	35431	32591	37994	41847	41998	50344	57721	69694	82138	95045	133766	183116	284407	1450492	1044859	2136804	7579182	6974293	4044479	2591520	2820313	1045011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	19	108	1743	6530	15784	21971	55040	23047	26136	32485	30611	38465	36919	43990	48053	54708	59369	84870	106868	109040	145253	191108	1321869	986349	1818374	7757280	7105498	4197988	2765664	2857671	1056726	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	20	16320	1804	6846	16030	21965	57226	24415	24520	33345	33513	39191	34703	37623	58815	53356	65731	80442	114201	100501	177909	266691	1360125	1041775	1968210	7918623	6831228	4209868	2545561	2859757	999223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	21	103	1768	6767	15533	21859	56345	24449	26730	31859	33577	38372	39268	41995	49387	49138	69213	81494	110180	102300	163635	233659	1386590	996502	1835240	7921685	6913538	4206342	2645622	2824973	1071394	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	22	100	1884	7014	16574	22644	58591	24127	26826	33595	32857	38270	34700	41570	54086	52306	63200	85861	96827	119016	155228	224774	1332905	993832	1922444	7914997	6956356	4188222	2663233	2780092	1057386	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	23	104	1868	7080	16974	22622	57095	25941	24420	35385	31835	38275	41128	40183	54412	57487	63634	83444	114989	117503	161675	211582	1371675	994778	1794066	7871648	6976982	4195358	2745486	2792048	1049840	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	24	111	1957	7030	16521	22592	59008	24722	28295	37186	34968	36391	39499	49890	51955	63744	56600	72261	116900	113605	173772	246943	1346041	1065021	1857679	7842003	6922367	4200834	2639716	2807363	1064543	0	0	0	0	0	0	0	0	0	0	0	0	0	0
